[2024-12-04T09:24:09.290+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: kaggle_to_noaa.fetch_noaa_data manual__2024-12-04T09:24:01.420850+00:00 [queued]>
[2024-12-04T09:24:09.303+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: kaggle_to_noaa.fetch_noaa_data manual__2024-12-04T09:24:01.420850+00:00 [queued]>
[2024-12-04T09:24:09.303+0000] {taskinstance.py:1308} INFO - Starting attempt 1 of 2
[2024-12-04T09:27:55.621+0000] {logging_mixin.py:150} INFO - Data for FIPS 16001 saved.
[2024-12-04T09:28:02.953+0000] {logging_mixin.py:150} INFO - Data for FIPS 17031 saved.
[2024-12-04T09:28:10.041+0000] {logging_mixin.py:150} INFO - Data for FIPS 27037 saved.
[2024-12-04T09:28:16.935+0000] {logging_mixin.py:150} INFO - Data for FIPS 48113 saved.
[2024-12-04T09:28:21.663+0000] {logging_mixin.py:150} INFO - Data for FIPS 17043 saved.
[2024-12-04T09:28:28.136+0000] {logging_mixin.py:150} INFO - Data for FIPS 26045 saved.
[2024-12-04T09:28:34.803+0000] {logging_mixin.py:150} INFO - Data for FIPS 13121 saved.
[2024-12-04T09:29:05.288+0000] {logging_mixin.py:150} INFO - Failed to fetch data for FIPS 13135. Status code: 503
[2024-12-04T09:29:12.216+0000] {logging_mixin.py:150} INFO - Data for FIPS 20091 saved.
[2024-12-04T09:29:21.650+0000] {logging_mixin.py:150} INFO - Data for FIPS 17097 saved.
[2024-12-04T09:29:28.671+0000] {logging_mixin.py:150} INFO - Data for FIPS 19113 saved.
[2024-12-04T09:29:34.661+0000] {logging_mixin.py:150} INFO - Data for FIPS 25017 saved.
[2024-12-04T09:29:47.357+0000] {logging_mixin.py:150} INFO - Data for FIPS 36059 saved.
[2024-12-04T09:29:51.931+0000] {logging_mixin.py:150} INFO - Data for FIPS 12099 saved.
[2024-12-04T09:29:56.418+0000] {logging_mixin.py:150} INFO - Data for FIPS 12103 saved.
[2024-12-04T09:30:01.700+0000] {logging_mixin.py:150} INFO - Data for FIPS 27123 saved.
[2024-12-04T09:30:06.834+0000] {logging_mixin.py:150} INFO - Data for FIPS 20173 saved.
[2024-12-04T09:30:12.046+0000] {logging_mixin.py:150} INFO - Data for FIPS 25023 saved.
[2024-12-04T09:30:17.236+0000] {logging_mixin.py:150} INFO - Data for FIPS 34023 saved.
[2024-12-04T09:30:24.660+0000] {logging_mixin.py:150} INFO - Data for FIPS 05007 saved.
[2024-12-04T09:30:31.521+0000] {logging_mixin.py:150} INFO - Data for FIPS 47037 saved.
[2024-12-04T09:30:39.260+0000] {logging_mixin.py:150} INFO - Data for FIPS 11001 saved.
[2024-12-04T09:30:45.789+0000] {logging_mixin.py:150} INFO - Data for FIPS 51059 saved.
[2024-12-04T09:30:52.603+0000] {logging_mixin.py:150} INFO - Data for FIPS 37081 saved.
[2024-12-04T09:30:59.157+0000] {logging_mixin.py:150} INFO - Data for FIPS 48201 saved.
[2024-12-04T09:30:59.832+0000] {logging_mixin.py:150} INFO - Data for FIPS 06201 saved.
[2024-12-04T09:31:05.269+0000] {logging_mixin.py:150} INFO - Data for FIPS 12086 saved.
[2024-12-04T09:31:15.240+0000] {logging_mixin.py:150} INFO - Data for FIPS 24031 saved.
[2024-12-04T09:31:23.114+0000] {logging_mixin.py:150} INFO - Data for FIPS 17143 saved.
[2024-12-04T09:31:31.129+0000] {logging_mixin.py:150} INFO - Data for FIPS 44007 saved.
[2024-12-04T09:31:37.637+0000] {logging_mixin.py:150} INFO - Data for FIPS 49035 saved.
[2024-12-04T09:31:41.895+0000] {logging_mixin.py:150} INFO - Data for FIPS 47163 saved.
[2024-12-04T09:31:45.616+0000] {logging_mixin.py:150} INFO - Data for FIPS 39153 saved.
[2024-12-04T09:31:51.037+0000] {logging_mixin.py:150} INFO - Data for FIPS 05139 saved.
[2024-12-04T09:31:56.997+0000] {logging_mixin.py:150} INFO - Data for FIPS 47187 saved.
[2024-12-04T09:32:27.486+0000] {logging_mixin.py:150} INFO - Failed to fetch data for FIPS 18003. Status code: 503
[2024-12-04T09:32:33.142+0000] {logging_mixin.py:150} INFO - Data for FIPS 26025 saved.
[2024-12-04T09:32:37.212+0000] {logging_mixin.py:150} INFO - Data for FIPS 06013 saved.
[2024-12-04T09:32:43.121+0000] {logging_mixin.py:150} INFO - Data for FIPS 39035 saved.
[2024-12-04T09:32:48.805+0000] {logging_mixin.py:150} INFO - Data for FIPS 42043 saved.
[2024-12-04T09:32:54.910+0000] {logging_mixin.py:150} INFO - Data for FIPS 39063 saved.
[2024-12-04T09:33:00.926+0000] {logging_mixin.py:150} INFO - Data for FIPS 34019 saved.
[2024-12-04T09:33:09.168+0000] {logging_mixin.py:150} INFO - Data for FIPS 06059 saved.
[2024-12-04T09:33:15.659+0000] {logging_mixin.py:150} INFO - Data for FIPS 22073 saved.
[2024-12-04T09:33:21.853+0000] {logging_mixin.py:150} INFO - Data for FIPS 12105 saved.
[2024-12-04T09:33:27.566+0000] {logging_mixin.py:150} INFO - Data for FIPS 36081 saved.
[2024-12-04T09:33:33.708+0000] {logging_mixin.py:150} INFO - Data for FIPS 36085 saved.
[2024-12-04T09:33:36.979+0000] {logging_mixin.py:150} INFO - Data for FIPS 51161 saved.
[2024-12-04T09:33:41.925+0000] {logging_mixin.py:150} INFO - Data for FIPS 06073 saved.
[2024-12-04T09:33:48.441+0000] {logging_mixin.py:150} INFO - Data for FIPS 06085 saved.
[2024-12-04T09:33:53.759+0000] {logging_mixin.py:150} INFO - Data for FIPS 39169 saved.
[2024-12-04T09:34:00.506+0000] {logging_mixin.py:150} INFO - Data for FIPS 37001 saved.
[2024-12-04T09:34:06.955+0000] {logging_mixin.py:150} INFO - Data for FIPS 42003 saved.
[2024-12-04T09:34:13.712+0000] {logging_mixin.py:150} INFO - Data for FIPS 08005 saved.
[2024-12-04T09:34:21.155+0000] {logging_mixin.py:150} INFO - Data for FIPS 34003 saved.
[2024-12-04T09:34:27.906+0000] {logging_mixin.py:150} INFO - Data for FIPS 26021 saved.
[2024-12-04T09:34:32.572+0000] {logging_mixin.py:150} INFO - Data for FIPS 12011 saved.
[2024-12-04T09:34:39.137+0000] {logging_mixin.py:150} INFO - Data for FIPS 51550 saved.
[2024-12-04T09:34:45.158+0000] {logging_mixin.py:150} INFO - Data for FIPS 42029 saved.
[2024-12-04T09:34:55.551+0000] {logging_mixin.py:150} INFO - Data for FIPS 42041 saved.
[2024-12-04T09:35:00.739+0000] {logging_mixin.py:150} INFO - Data for FIPS 12031 saved.
[2024-12-04T09:35:06.287+0000] {logging_mixin.py:150} INFO - Data for FIPS 36049 saved.
[2024-12-04T09:35:11.361+0000] {logging_mixin.py:150} INFO - Data for FIPS 39049 saved.
[2024-12-04T09:35:17.166+0000] {logging_mixin.py:150} INFO - Data for FIPS 51075 saved.
[2024-12-04T09:35:22.883+0000] {logging_mixin.py:150} INFO - Data for FIPS 47065 saved.
[2024-12-04T09:35:26.793+0000] {logging_mixin.py:150} INFO - Data for FIPS 27053 saved.
[2024-12-04T09:35:31.710+0000] {logging_mixin.py:150} INFO - Data for FIPS 37097 saved.
[2024-12-04T09:35:37.523+0000] {logging_mixin.py:150} INFO - Data for FIPS 41029 saved.
[2024-12-04T09:35:42.462+0000] {logging_mixin.py:150} INFO - Data for FIPS 26077 saved.
[2024-12-04T09:35:48.219+0000] {logging_mixin.py:150} INFO - Data for FIPS 36047 saved.
[2024-12-04T09:35:53.239+0000] {logging_mixin.py:150} INFO - Data for FIPS 48037 saved.
[2024-12-04T09:35:56.395+0000] {logging_mixin.py:150} INFO - Data for FIPS 18097 saved.
[2024-12-04T09:36:14.377+0000] {logging_mixin.py:150} INFO - Data for FIPS 17113 saved.
[2024-12-04T09:36:21.479+0000] {logging_mixin.py:150} INFO - Data for FIPS 34027 saved.
[2024-12-04T09:36:27.301+0000] {logging_mixin.py:150} INFO - Data for FIPS 51700 saved.
[2024-12-04T09:36:33.712+0000] {logging_mixin.py:150} INFO - Data for FIPS 34031 saved.
[2024-12-04T09:36:39.606+0000] {logging_mixin.py:150} INFO - Data for FIPS 51159 saved.
[2024-12-04T09:36:56.913+0000] {logging_mixin.py:150} INFO - Data for FIPS 06081 saved.
[2024-12-04T09:37:02.082+0000] {logging_mixin.py:150} INFO - Data for FIPS 40143 saved.
[2024-12-04T09:37:08.441+0000] {logging_mixin.py:150} INFO - Data for FIPS 12009 saved.
[2024-12-04T09:37:13.906+0000] {logging_mixin.py:150} INFO - Data for FIPS 08014 saved.
[2024-12-04T09:37:20.431+0000] {logging_mixin.py:150} INFO - Data for FIPS 48085 saved.
[2024-12-04T09:37:26.898+0000] {logging_mixin.py:150} INFO - Data for FIPS 37063 saved.
[2024-12-04T09:37:27.641+0000] {logging_mixin.py:150} INFO - Data for FIPS 34121 saved.
[2024-12-04T09:37:34.116+0000] {logging_mixin.py:150} INFO - Data for FIPS 51085 saved.
[2024-12-04T09:37:40.616+0000] {logging_mixin.py:150} INFO - Data for FIPS 26075 saved.
[2024-12-04T09:37:46.625+0000] {logging_mixin.py:150} INFO - Data for FIPS 53033 saved.
[2024-12-04T09:37:52.415+0000] {logging_mixin.py:150} INFO - Data for FIPS 42077 saved.
[2024-12-04T09:37:59.090+0000] {logging_mixin.py:150} INFO - Data for FIPS 13215 saved.
[2024-12-04T09:38:06.469+0000] {logging_mixin.py:150} INFO - Data for FIPS 36061 saved.
[2024-12-04T09:38:13.161+0000] {logging_mixin.py:150} INFO - Data for FIPS 51710 saved.
[2024-12-04T09:38:19.892+0000] {logging_mixin.py:150} INFO - Data for FIPS 22055 saved.
[2024-12-04T09:38:25.759+0000] {logging_mixin.py:150} INFO - Data for FIPS 29189 saved.
[2024-12-04T09:38:29.519+0000] {logging_mixin.py:150} INFO - Data for FIPS 48453 saved.
[2024-12-04T09:38:35.069+0000] {logging_mixin.py:150} INFO - Data for FIPS 06111 saved.
[2024-12-04T09:38:40.834+0000] {logging_mixin.py:150} INFO - Data for FIPS 41067 saved.
[2024-12-04T09:38:45.304+0000] {logging_mixin.py:150} INFO - Data for FIPS 26081 saved.
[2024-12-04T09:38:52.139+0000] {logging_mixin.py:150} INFO - Data for FIPS 06001 saved.
[2024-12-04T09:38:57.391+0000] {logging_mixin.py:150} INFO - Data for FIPS 51013 saved.
[2024-12-04T09:39:02.267+0000] {logging_mixin.py:150} INFO - Data for FIPS 18005 saved.
[2024-12-04T09:39:08.011+0000] {logging_mixin.py:150} INFO - Data for FIPS 48029 saved.
[2024-12-04T09:39:12.427+0000] {logging_mixin.py:150} INFO - Data for FIPS 55025 saved.
[2024-12-04T09:39:17.116+0000] {logging_mixin.py:150} INFO - Data for FIPS 42045 saved.
[2024-12-04T09:39:21.425+0000] {logging_mixin.py:150} INFO - Data for FIPS 08031 saved.
[2024-12-04T09:39:25.447+0000] {logging_mixin.py:150} INFO - Data for FIPS 42049 saved.
[2024-12-04T09:39:29.465+0000] {logging_mixin.py:150} INFO - Data for FIPS 09001 saved.
[2024-12-04T09:39:33.351+0000] {logging_mixin.py:150} INFO - Data for FIPS 37067 saved.
[2024-12-04T09:39:37.349+0000] {logging_mixin.py:150} INFO - Data for FIPS 39061 saved.
[2024-12-04T09:39:40.642+0000] {logging_mixin.py:150} INFO - Data for FIPS 25013 saved.
[2024-12-04T09:39:43.682+0000] {logging_mixin.py:150} INFO - Data for FIPS 51087 saved.
[2024-12-04T09:39:47.397+0000] {logging_mixin.py:150} INFO - Data for FIPS 21111 saved.
[2024-12-04T09:39:50.402+0000] {logging_mixin.py:150} INFO - Data for FIPS 27097 saved.
[2024-12-04T09:39:54.366+0000] {logging_mixin.py:150} INFO - Data for FIPS 06037 saved.
[2024-12-04T09:39:59.059+0000] {logging_mixin.py:150} INFO - Data for FIPS 26111 saved.
[2024-12-04T09:40:03.467+0000] {logging_mixin.py:150} INFO - Data for FIPS 55079 saved.
[2024-12-04T09:40:33.977+0000] {logging_mixin.py:150} INFO - Failed to fetch data for FIPS 42091. Status code: 503
[2024-12-04T09:40:37.768+0000] {logging_mixin.py:150} INFO - Data for FIPS 40109 saved.
[2024-12-04T09:40:43.576+0000] {logging_mixin.py:150} INFO - Data for FIPS 05119 saved.
[2024-12-04T09:40:49.276+0000] {logging_mixin.py:150} INFO - Data for FIPS 55101 saved.
[2024-12-04T09:40:53.786+0000] {logging_mixin.py:150} INFO - Data for FIPS 17161 saved.
[2024-12-04T09:40:58.288+0000] {logging_mixin.py:150} INFO - Data for FIPS 36101 saved.
[2024-12-04T09:41:03.181+0000] {logging_mixin.py:150} INFO - Data for FIPS 48439 saved.
[2024-12-04T09:41:09.312+0000] {logging_mixin.py:150} INFO - Data for FIPS 34039 saved.
[2024-12-04T09:41:15.388+0000] {logging_mixin.py:150} INFO - Data for FIPS 05143 saved.
[2024-12-04T09:41:15.389+0000] {python.py:183} INFO - Done. Returned value was: None
[2024-12-04T09:41:15.400+0000] {taskinstance.py:1350} INFO - Marking task as SUCCESS. dag_id=kaggle_to_noaa, task_id=fetch_noaa_data, execution_date=20241204T092401, start_date=20241204T092409, end_date=20241204T094115
[2024-12-04T09:41:15.433+0000] {local_task_job_runner.py:225} INFO - Task exited with return code 0
[2024-12-04T09:41:15.448+0000] {taskinstance.py:2653} INFO - 0 downstream tasks scheduled from follow-on schedule check
